x2hr,intensity
0.005,7.0,
0.01,7.36734693877551,
0.015,7.73469387755102,
0.02,8.10204081632653,
0.02,8.46938775510204,
0.025,8.83673469387755,
0.025,9.204081632653061,
0.03,9.571428571428571,
0.045,9.938775510204081,
0.055,10.306122448979592,
0.065,10.673469387755102,
0.08,11.040816326530614,
0.085,11.408163265306122,
0.085,11.775510204081634,
0.1,12.142857142857142,
0.12,12.510204081632654,
0.13,12.877551020408163,
0.145,13.244897959183675,
0.19,13.612244897959183,
0.21,13.979591836734695,
0.23,14.346938775510203,
0.25,14.714285714285715,
0.285,15.081632653061225,
0.3,15.448979591836736,
0.325,15.816326530612246,
0.35,16.183673469387756,
0.375,16.551020408163268,
0.395,16.918367346938776,
0.425,17.285714285714285,
0.45,17.653061224489797,
0.49,18.02040816326531,
0.515,18.387755102040817,
0.54,18.755102040816325,
0.575,19.122448979591837,
0.605,19.48979591836735,
0.615,19.857142857142858,
0.65,20.224489795918366,
0.665,20.591836734693878,
0.68,20.95918367346939,
0.685,21.3265306122449,
0.72,21.693877551020407,
0.75,22.06122448979592,
0.765,22.42857142857143,
0.795,22.79591836734694,
0.805,23.16326530612245,
0.82,23.53061224489796,
0.845,23.89795918367347,
0.86,24.26530612244898,
0.87,24.63265306122449,
0.885,25.0,
